pid,task,Order,self,other
198,WTP,Other First,45,37.5
199,Enjoy,Other First,29,80
200,WTP,Other First,57.49999999999999,57.49999999999999
201,Enjoy,Other First,80,80
202,WTP,Other First,30,37.5
203,WTP,Other First,37.5,25
204,Enjoy,Self First,100,100
205,Enjoy,Self First,67,91
206,WTP,Self First,50,37.5
207,Enjoy,Self First,100,100
208,WTP,Self First,25,25
209,Enjoy,Other First,100,100
210,Enjoy,Other First,91,61
211,WTP,Other First,37.5,37.5
212,Enjoy,Self First,91,93
213,WTP,Self First,17.5,37.5
214,WTP,Other First,62.5,50
215,Enjoy,Self First,62,65
216,WTP,Other First,40,37.5
217,Enjoy,Other First,79,61
218,Enjoy,Self First,1,70
219,Enjoy,Self First,90,89
220,Enjoy,Self First,100,100
221,WTP,Other First,17.5,30
222,Enjoy,Other First,13,51
223,WTP,Other First,10,12.5
224,Enjoy,Other First,86,100
225,Enjoy,Other First,100,100
226,Enjoy,Self First,100,100
227,WTP,Self First,24.975,32.475
228,Enjoy,Self First,50,76
229,Enjoy,Self First,100,99
230,Enjoy,Self First,99,99
231,Enjoy,Other First,90,75
232,Enjoy,Other First,100,85
233,WTP,Self First,25,25
234,WTP,Self First,12.5,25
235,Enjoy,Self First,80,100
236,Enjoy,Other First,100,100
237,WTP,Self First,12.5,37.5
238,Enjoy,Other First,47,72
239,Enjoy,Other First,98,91
240,Enjoy,Self First,59,66
241,Enjoy,Other First,80,76
242,Enjoy,Self First,74,67
243,WTP,Self First,37.5,37.5
244,Enjoy,Self First,52,49
245,Enjoy,Other First,100,99
246,Enjoy,Other First,100,82
246,Enjoy,Other First,100,82
247,WTP,Other First,5,20
248,WTP,Self First,60,62.5
249,Enjoy,Other First,100,70
250,Enjoy,Self First,100,80
